

,,,,,,,,Stan,Stan,Stan,Stan,Stan,Expe,Expe,Expe,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,xG,npxG,npxG/Sh,-9999
1,Ismael Aaneba,fr FRA,FWDF,Strasbourg,21,1999,0,0,0,,,,0.0,0.0,,a7e4760c
2,Yunis Abdelhamid,ma MAR,DF,Reims,32,1987,3,15,5,33.3,0.20,0.60,1.7,1.7,0.11,32c2d95f
3,Mehdi Abeid,dz ALG,MF,Nantes,27,1992,0,20,0,0.0,0.00,,1.0,1.0,0.05,a4c3f7af
4,Laurent Abergel,fr FRA,MF,Lorient,27,1993,3,30,10,33.3,0.10,0.30,1.3,1.3,0.04,31626657
5,Charles Abi,fr FRA,FWMF,Saint-Étienne,20,2000,3,19,4,21.1,0.16,0.75,2.1,2.1,0.11,469d3d84
6,Matthis Abline,fr FRA,FW,Rennes,17,2003,0,0,0,,,,0.0,0.0,,0e46fa2f
7,Pape Abou Cisse,sn SEN,DF,Saint-Étienne,24,1995,0,13,3,23.1,0.00,0.00,1.2,1.2,0.09,8bc373ea
8,Yacine Adli,fr FRA,MF,Bordeaux,20,2000,2,24,9,37.5,0.08,0.22,1.4,1.4,0.06,26777636
9,Nayef Aguerd,ma MAR,DF,Rennes,24,1996,3,29,6,20.7,0.10,0.50,2.9,2.9,0.10,288e1e13
10,Ruben Aguilar,fr FRA,DFFW,Monaco,27,1993,1,8,3,37.5,0.13,0.33,1.2,1.2,0.15,3dd738a1
11,Matteo Ahlinvi,bj BEN,MF,Nîmes,21,1999,2,11,6,54.5,0.18,0.33,1.6,1.6,0.14,5ea9ebd4
12,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26,1994,2,31,6,19.4,0.06,0.33,2.3,2.0,0.06,48b28bfd
13,Jean-Eudes Aholou,ci CIV,MF,Monaco,26,1994,0,2,1,50.0,0.00,0.00,0.1,0.1,0.05,48b28bfd
